,ALGEBRA E GEOMETRIA,ARCHITETTURA DEGLI ELABORATORI,PROGRAMMAZIONE,ANALISI MATEMATICA,LABORATORIO I,PROGRAMMAZIONE CONCORRENTE E DISTRIBUITA,SISTEMI OPERATIVI,BASI DI DATI,FONDAMENTI DI SICUREZZA,STORIA DEGLI AUTOMI E DELL'INFORMATICA,INGLESE,ALGORITMI E STRUTTURE DATI,PROGETTAZIONE DEL SOFTWARE,"INFORMAZIONE, TRASMISSIONE E CODICI A PROTEZIONE D'ERRORE",LABORATORIO II,RETI DI TELECOMUNICAZIONE,INFORMATICA TEORICA,APPLICAZIONI WEB,PROVA FINALE,FONDAMENTI DEI LINGUAGGI DI PROGRAMMAZIONE,SISTEMI INFORMATIVI,TIROCINIO FORMATIVO,PROGRAMMAZIONE DI DISPOSITIVI MOBILI,GRAFICA COMPUTAZIONALE,ELABORAZIONE DELLE IMMAGINI,LOGICA MATEMATICA,MICROCONTROLLORI,ORGANIZZAZIONE AZIENDALE,MARKETING,MODELLI INNOVATIVI PER LA GESTIONE DEI DATI,Logica,GESTIONE PROGETTI SOFTWARE,AUTOMI E LINGUAGGI,TEST DI VERIFICA DELLE CONOSCENZE,ANALISI E RICONOSCIMENTO NELLE RETI SOCIALI,IBM BLUEMIX,LABORATORIO INTERDISCIPLINARE A,LABORATORIO INTERDISCIPLINARE,PROGRAMMAZIONE PROCEDURALE E AD OGGETTI,PROGRAMMAZIONE FUNZIONALE,LABORATORIO INTERDISCIPLINARE A E B,LABORATORIO INTERDISCIPLINARE B
723609,14,14,14,21,-1,30,25,24,42,42,19,19,30,30,-1,37,-1,-1,50,43,37,50,38,-1,25,-1,-1,-1,-1,-1,31,-1,37,-1,-1,-1,42,42,42,-1,-1,-1
724396,14,17,14,59,-1,61,25,26,42,33,19,21,49,48,-1,49,-1,-1,-1,42,37,62,31,-1,-1,-1,-1,-1,45,-1,31,-1,38,-1,-1,-1,37,37,43,-1,-1,-1
724380,14,30,19,55,-1,54,50,25,49,43,19,43,55,48,-1,42,-1,-1,-1,-1,57,63,31,-1,43,-1,-1,-1,-1,57,31,-1,37,-1,57,-1,62,62,-1,-1,-1,-1
718751,14,16,18,64,23,38,26,61,33,43,18,61,28,73,66,43,40,57,75,55,38,74,54,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,62,-1,-1,-1,-1,-1,-1,-1
723616,14,14,17,57,-1,30,37,25,42,26,19,21,26,49,-1,37,-1,-1,60,-1,-1,55,42,-1,-1,-1,37,-1,42,31,30,-1,37,-1,-1,-1,37,37,-1,-1,-1,-1
719216,16,16,18,21,29,40,26,28,30,43,18,23,43,67,45,54,47,45,69,-1,-1,66,-1,-1,41,43,38,-1,-1,51,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
725410,14,14,14,31,-1,30,25,24,43,-1,13,19,31,48,-1,37,-1,-1,50,42,37,50,33,-1,38,-1,25,-1,-1,-1,31,-1,42,-1,-1,-1,37,37,42,-1,-1,-1
720038,14,16,18,35,23,30,25,28,-1,43,21,23,28,50,45,38,38,43,51,-1,-1,48,-1,-1,38,33,38,43,-1,-1,-1,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
726695,13,14,13,18,-1,30,33,42,43,27,18,18,31,42,-1,27,-1,-1,48,-1,-1,48,27,27,-1,-1,-1,-1,43,-1,27,27,37,9,-1,-1,21,-1,43,-1,37,37
721577,14,14,13,19,-1,31,26,26,42,38,19,19,31,31,-1,42,-1,42,48,-1,-1,48,45,33,37,-1,29,-1,-1,-1,31,-1,38,-1,-1,-1,37,37,-1,-1,-1,-1
723370,14,14,14,19,-1,30,25,24,42,-1,15,19,26,30,-1,37,-1,-1,43,42,-1,42,30,37,-1,-1,-1,-1,-1,30,30,-1,37,-1,-1,-1,31,31,42,-1,-1,-1
723371,14,14,14,19,-1,30,26,24,42,43,21,19,33,38,-1,37,-1,-1,51,42,-1,51,37,-1,-1,-1,37,-1,-1,-1,30,30,37,-1,-1,-1,42,42,43,-1,-1,-1
723372,14,17,14,21,-1,30,26,24,42,42,19,33,37,48,-1,38,-1,-1,51,-1,37,51,37,-1,37,-1,-1,-1,-1,-1,30,25,38,-1,-1,-1,42,42,42,-1,-1,-1
721070,14,14,13,61,-1,31,26,28,43,33,19,19,26,60,-1,38,-1,42,63,-1,-1,63,43,-1,-1,-1,26,-1,42,-1,31,37,38,-1,-1,-1,37,37,-1,-1,-1,-1
719964,14,23,16,45,41,35,26,31,35,43,18,23,28,47,41,38,40,47,48,-1,38,48,-1,-1,41,43,43,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
724145,14,19,14,19,-1,30,25,24,43,42,19,42,37,48,-1,37,-1,-1,50,-1,37,50,-1,-1,26,-1,38,-1,43,37,33,-1,45,-1,-1,-1,37,37,-1,-1,-1,-1
720821,14,14,13,19,-1,31,26,26,42,38,19,19,29,50,-1,49,-1,43,55,-1,-1,54,42,53,-1,-1,26,-1,-1,-1,45,37,37,-1,-1,-1,37,37,-1,-1,-1,-1
720822,14,14,13,19,-1,31,26,26,42,-1,17,19,29,33,-1,38,-1,42,51,-1,-1,51,42,42,29,-1,-1,-1,-1,42,31,38,37,-1,-1,-1,42,42,-1,-1,-1,-1
725687,14,19,19,49,-1,30,50,30,55,43,15,45,31,50,-1,61,-1,-1,62,-1,57,62,33,-1,43,-1,50,-1,-1,-1,31,-1,38,-1,50,-1,37,37,-1,-1,-1,-1
722104,14,17,14,23,-1,31,26,26,42,33,21,19,38,33,-1,37,-1,43,50,-1,-1,50,43,-1,37,-1,43,-1,-1,45,31,-1,37,-1,-1,-1,42,42,-1,-1,-1,-1
718777,14,16,13,26,21,30,31,30,35,43,19,18,28,31,33,38,42,43,48,-1,38,45,-1,-1,43,33,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
718778,14,16,14,52,26,30,25,30,30,43,18,23,28,62,36,38,42,43,63,-1,-1,48,-1,-1,54,49,38,-1,-1,33,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
723899,14,14,14,19,-1,30,30,24,45,-1,19,42,37,48,-1,42,-1,-1,57,45,50,55,49,-1,42,-1,-1,-1,-1,-1,30,25,38,-1,-1,-1,42,42,49,-1,-1,-1
723914,14,19,14,49,-1,30,25,24,42,42,19,54,37,48,-1,37,-1,-1,60,-1,37,60,-1,-1,54,-1,49,-1,54,38,31,-1,50,-1,-1,-1,37,37,-1,-1,-1,-1
719038,16,16,14,23,26,30,26,28,30,-1,15,18,54,31,50,45,40,45,-1,86,-1,86,-1,43,38,-1,35,-1,-1,-1,-1,-1,-1,-1,74,-1,-1,-1,-1,-1,-1,-1
